latitude,longitude,year,month,day,cp,e,ilspf,lsp,pev,tcrw,tp,swvl1,swvl2,ro
17.5,77.75,2019,5,24,0.000102560036,-0.00028732810000000003,0.0,0.0,-0.00092885236,0.0,0.00010303734,0.20488223,0.20027065,4.8754737e-07
17.25,77.25,2019,9,30,7.441779599999999e-05,-0.00047212088,0.20458394,0.0,-0.0005085711,0.0,7.43079e-05,0.48844075,0.4752129,1.9501895e-06
17.5,77.0,2018,2,1,0.0,-0.00027386639999999997,0.0,0.0,-0.0007579379,0.0,0.0,0.1682205,0.20330238,7.310881999999999e-07
17.75,78.0,2019,8,3,4.3520704000000004e-06,-0.00018905607,0.9999695,0.000616489,-9.688863000000001e-05,0.5114708,0.00062081637,0.46978557,0.47880542,1.0969583e-05
17.25,78.0,2018,6,9,4.772609e-05,-0.00034091587,0.6452017,5.3391792e-05,-0.00045268837,0.012446403500000001,0.0001010932,0.43082595,0.41135353,1.706183e-06
17.25,77.0,2018,1,3,0.0,-0.00017673161,0.0,0.0,-0.0005419039499999999,0.0,0.0,0.27986735,0.2999034,4.8754737e-07
17.25,77.75,2018,8,15,1.5231781e-05,-0.00024886617999999997,0.8154365,0.00037953723,-0.00023199102999999998,0.21581757,0.00039486866,0.49118959999999995,0.47854257,4.7534704000000005e-06
17.25,78.0,2018,11,14,0.0,-0.00032134284,0.0,0.0,-0.0007646280599999999,0.0,0.0,0.22183865,0.27599412,4.8754737e-07
17.75,77.75,2018,6,2,5.2223912999999995e-06,-0.00042617926,0.0,0.0,-0.0008375511,0.21887755,4.752073400000001e-06,0.35595820000000006,0.25431627,7.310881999999999e-07
18.0,77.0,2018,12,30,0.0,-0.0002064379,0.0,0.0,-0.00056726765,0.0,0.0,0.27727290000000004,0.31190187,2.4354085000000004e-07
17.5,78.0,2018,11,24,0.0,-0.0002652587,0.0,0.0,-0.0007568360000000001,0.0,0.0,0.21356738,0.25608042,9.750947e-07
17.75,77.5,2019,5,5,0.0,-0.00015802766,0.0,0.0,-0.0010077769,0.0,0.0,0.19990957,0.22312847,2.4354085000000004e-07
17.0,77.5,2019,5,27,0.0,-0.00026144026000000004,0.0,0.0,-0.0009745817999999999,0.0,0.0,0.26637632,0.2906154,0.0
17.25,77.75,2018,7,27,9.008450399999999e-05,-0.0002265934,0.0,0.0,-0.00028010132,0.022210956,8.9644454e-05,0.43171546,0.43517520000000004,1.4626421000000002e-06
17.25,77.0,2019,9,10,0.00018756743999999998,-0.00040890838,0.10001069,4.8631801999999996e-05,-0.00046006724,0.009523869,0.00023653218999999996,0.47379458,0.4841621,3.7783757000000005e-06
17.0,78.0,2018,11,22,0.0,-0.0002680509,0.0,0.0,-0.00066765974,0.0,0.0,0.16658972,0.17330624,4.8754737e-07
17.0,77.25,2018,12,24,0.0,-0.00026494436,0.0,0.0,-0.00054641,0.0,0.0,0.28581598,0.3251913,0.0
17.0,78.0,2018,12,12,0.0,-0.00020177808,0.0,0.0,-0.00048796926,0.0,0.0,0.16270426,0.17374437,4.8754737e-07
18.0,77.0,2019,3,17,0.0,-0.00022488296000000002,0.0,0.0,-0.0010191109,0.0,0.0,0.2545346,0.29039344,2.4354085000000004e-07
17.75,77.5,2019,10,29,0.000108942855,-0.0004540179,0.0,1.7590355e-05,-0.00051242777,0.0,0.00012679864,0.45798093,0.46232070000000003,5.2899588000000005e-05
17.75,77.0,2018,4,12,1.0009389e-05,-0.00039456837,0.0,0.0,-0.0008676372000000001,0.0,9.936281e-06,0.27212113,0.25332907,1.4626421000000002e-06
18.0,77.5,2018,9,21,0.0,-0.00019763601999999998,0.11502603,0.00019349343999999996,-0.00017478994999999998,0.16455358,0.00019354606,0.42261025,0.3826075,2.803281e-06
